thisRow.t,notes,response,correct,correct_response,response_time,difficulty,category,phase,stimulus_ID,stim presentation time,delay presentation time,AB presentation time,debugging_time,feedback presentation time,ITI presentation time,ITI response time,participant,session,date,
,,8,1,"['5', '6', '7', '8']",0.7657775830011815,2,2,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.21906408299400937,1,2,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.06705583300208673,1,1,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.5299843329994474,2,1,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.2653694579930743,1,1,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.2822223740076879,2,2,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.12576445800368674,1,2,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.2334294989996124,1,2,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.16295766599068884,1,1,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.12211991600634065,2,1,train,,,,,,,,,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.574101125006564,1,1,test,16,0.0064137079898500815,0.6086452919989824,1.6129700419987785,1.6129602090077242,2.4425272919907,3.4443750829959754,0.486170290998416,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.24747016599576455,1,2,test,19,4.175852125001256,4.778360041993437,5.782671249995474,1.6115285420091823,6.304013041997678,7.305832541998825,0.4496157910034526,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.08337924900115468,1,2,test,10,7.978176832999452,8.58056229200156,9.58503912499873,1.610780374991009,9.944489041998168,10.946457375001046,0.43309620799846016,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.26065566699253395,1,1,test,7,11.58314312499715,12.18541954200191,13.18958720799128,1.6111712910060305,13.670913207999547,14.672688332997495,0.14200437399267685,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.3187101240037009,1,2,test,4,15.000076291995356,15.602202166992356,16.6063914999977,1.6099572499952046,17.145132124991505,18.146997416988597,0.2958154160005506,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.09165908300201409,2,1,test,4,18.665575708000688,19.267681207988062,20.27197841698944,1.6105248329986352,20.52648099999351,21.528299500001594,0.40946962501038797,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.11502983298851177,2,1,test,17,22.14496999999392,22.747123916997225,23.751317916990956,1.6109800419944804,24.071272166998824,25.07303874999343,0.14474895800231025,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.07402266698773019,2,1,test,4,25.393157375001465,25.995231249995413,26.999430249998113,1.6099508750048699,27.24319966699113,28.24497162499756,0.28773754100257065,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.05520174899720587,2,2,test,17,28.726411791998544,29.328972916991916,30.333239582992974,1.6108257500018226,30.566681166994385,31.568440167000517,0.23866762399848085,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.09810404200106859,2,2,test,7,32.0340833329974,32.636129874998005,33.64037137498963,1.6107883749937173,33.90039199999592,34.902153624992934,0.1529533330030972,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.09700316700036637,3,1,test,4,35.174035666990676,35.7762914999912,36.780338791999384,1.6098494580073748,37.08294733299408,38.084844166995026,0.28193199999805074,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.07137362500361633,3,2,test,2,38.58204820800165,39.184859542001504,40.18940925000061,1.611736083010328,40.44412529199326,41.44586929200159,0.048498415999347344,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.19314983299409505,3,1,test,16,41.649569291999796,42.25165362498956,43.25630112500221,1.6107861659984337,43.623342957987916,44.62511799999629,0.047216248989570886,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.2868960409978172,3,2,test,17,44.85524249999435,45.4573703329952,46.461656707993825,1.6108706669911044,46.928929916990455,47.930693916991004,0.12736412399681285,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.2761839989980217,3,1,test,4,48.188128832989605,48.79018749999523,49.79468387499219,1.610873375000665,50.2596361249889,51.261420208000345,0.1647767499962356,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.06276562499988358,4,2,test,5,51.61375774999033,52.215740416999324,53.21984604198951,1.6099986659974093,53.46753212499607,54.46934945799876,0.10397300000477117,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.05927408298884984,4,2,test,16,54.755296666990034,55.35749445798865,56.361494666998624,1.6107289579958888,56.580268707999494,57.58201545799966,0.2701625830086414,,,2023-12-13_09h19.09.013,
,,9,1,['9'],0.08486712499870919,4,1,test,12,58.04246187499666,58.64471770799719,59.64925691699318,1.6113077500049258,59.92216849999386,60.92394408299879,0.17830695799784735,,,2023-12-13_09h19.09.013,
,,8,1,"['5', '6', '7', '8']",0.09107224999752361,4,2,test,16,61.28643562499201,61.88856374999159,62.89270066699828,1.6098225000023376,63.152797582995845,64.15460037499724,0.1395915830071317,,,2023-12-13_09h19.09.013,
